name,causes,homeRemedies,yogaLink,precaution,image,keyword,mId,category
Anxiety,"Feeling nervous, restless or tense , Having a sense of impending danger, panic or doom , Having an increased heart rate ,Breathing rapidly (hyperventilation) ,Sweating ,Trembling
Feeling weak or tired, Trouble concentrating or thinking about anything other than the present worry,Having trouble sleeping,Experiencing gastrointestinal (GI) problems
Having difficulty controlling worry .Having the urge to avoid things that trigger anxietyFor some people, anxiety may be linked to an underlying health issue. In some cases, anxiety signs and symptoms are the first indicators of a medical illness. If your doctor suspects your anxiety may have a medical cause, he or she may order tests to look for signs of a problem.
Examples of medical problems that can be linked to anxiety include:---Heart disease, Diabetes,Thyroid problems, such as hyperthyroidism,Respiratory disorders, such as chronic obstructive pulmonary disease (COPD) and asthma,Drug misuse or withdrawal,Withdrawal from alcohol, anti-anxiety medications (benzodiazepines) or other medications,Chronic pain or irritable bowel syndrome,Rare tumors that produce certain fight-or-flight hormones","Focus on your breath,Focus on the life force in the body that can help you instantly. Practicing breathing techniques such as Pranayam or Sama Vritti can do wonders and release you from an anxious state of mind.Practice Shirodhara.In Ayurveda,the term shirodhara comes from the Sanskrit words shiro (head) and dhara (flow). This therapy involves pouring warm oil over the forehead which gives a soothing effect to the nervous system. Diet
Ayurveda also aims at diet modifications and reducing inflammation by correcting your diet. Ayurveda recommends eating according to your prakriti as every single body is different and has different prakriti. Each individual should follow a diet plan designed for his/her body and lifestyle habits.",https://www.youtube.com/embed/hJbRpHZr_d0,"You should avoid these things during anxiety Cakes cookies candy and pies, avoid Sugary drinks Processed meats, avoid cheese and ready-made meals, reduce use of  Coffee tea and energy drinks, avoid Alcohol Fruit and vegetable smoothies with high glycemic indexes Gluten,dont take Artificial sweeteners, Hidden sugars and Processed vegetable oils, Trim a hectic schedule to its most essential items and do your best to avoid activities you don't find relaxing,",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652273860277_anxiety-disorders.jpg?alt=media&token=image,"anxiety,chinta,depression,preshan rhna,nind nhi ana.??????, ?????,chinta","62820d8de9325774c246cb14,62820d8de9325774c246cb15,62820d8de9325774c246cb16,62820d8de9325774c246cb17",627cad2b412fc0e68820c482
Arthritis,"Pain, Stiffness ,Swelling ,Redness,Decreased range of motion . There are 2 type of arthristis 1. Osteoarthritis -> The most common type of arthritis, osteoarthritis involves wear-and-tear damage to a joint's cartilage — the hard, slick coating on the ends of bones where they form a joint. Cartilage cushions the ends of the bones and allows nearly frictionless joint motion, but enough damage can result in bone grinding directly on bone, which causes pain and restricted movement. This wear and tear can occur over many years, or it can be hastened by a joint injury or infection. 2. Rheumatoid arthritis ->In rheumatoid arthritis, the body's immune system attacks the lining of the joint capsule, a tough membrane that encloses all the joint parts. This lining (synovial membrane) becomes inflamed and swollen. The disease process can eventually destroy cartilage and bone within the joint.","Manage your weight,Get enough exercise, Use hot and cold therapy, Try acupuncture,
Use meditation to cope with pain,Follow a healthy diet,Add turmeric to dishes
Aloe vera. Aloe vera is one of the most commonly used herbs in alternative medicine,
Boswellia ,Cat's claw.Eucalyptus ,Ginger,Green tea,Thunder god vine,Turmeric.",https://www.youtube.com/embed/MBjo-bO-3pw,"You should limit your sugar intake no matter what, but especially if you have arthritis, Added sugars are found in candy soda ice cream and numerous other foods including less obvious items like barbecue sauce, Ultra-processed items like fast food breakfast cereal and baked goods are typically high in refined grains added sugar preservatives and other potentially inflammatory ingredients all of which may worsen arthritis symptoms, As alcohol may worsen arthritis symptoms anyone with inflammatory arthritis should restrict or avoid it, avoid food which is rich in salt, people should not Squatting,avoid Deep lunging Running High-impact sports and repetitive jumping, Walking or running up stairs, Low-impact exercises to try, Standing for a long period of time can place excessive pressure on the inflamed joints of seniors with arthritis",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652274002179_arthritis.jpg?alt=media&token=image,"arthritis,?????,arthritis, rheumatism, gout, arthragra, arthralgia, arthrolithiasis,
arthritis,gathiya rog,jodo ka dard,jodo ki sujan","62820d8de9325774c246cb34,62820d8de9325774c246cb41,62820d8de9325774c246cb40",627cadc6412fc0e68820c487
Obesity,"Obesity is generally caused by eating too much and moving too little If you consume high amounts of energy, particularly fat and sugars, but do not burn off the energy through exercise and physical activity, much of the surplus energy will be stored by the body as fat.The symptoms of obesity go beyond excess body fat. Skin problems, shortness of breath, trouble sleeping, and more can affect someone with obesity.","Drink Warm water with lemon and Honey, Green tea, Apple cider vinegar,Drink at least 8-10 glasses of warm water daily to make sure that your body is getting enough water",https://www.youtube.com/embed/qLigjccYrSg,"Limit these foods and drinks Sugar-sweetened beverages (soda fruit drinks sports drinks) Fruit juice (no more than a small amount per day) Refined grains(white bread white rice white pasta) and sweets Potatoes (baked or fried)
Red meat (beef pork lamb) and processed meats (salami ham bacon sausage), Take Proper sleep becouse Sleep loss creates a hormone imbalance in the body that promotes overeating and weight gain, Sleeping too much or too little could make you weigh too much, Focus on eating low glycemic index foods, The foods most tied to weight gain They include potato chips sugar sweetened beverages sweets and desserts refined grains red meats and processed meats the researchers said",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652274532542_obesity.jpg?alt=media&token=image,"motapa,obecity,charbi badna,pet mota hona,mota hona","62820d8de9325774c246cb1c,62820d8de9325774c246cb1d,62820d8de9325774c246cb1e,62820d8de9325774c246cb1f",627cadc6412fc0e68820c500
Chest Pain,"Although chest pain can sometimes be a symptom of a heart problem, there are many other possible causes. While some of these are serious conditions, most are not harmful.Chest pain can cause many different sensations depending on what's triggering the symptom. Often, the cause has nothing to do with the heart — though there's no easy way to tell without seeing a health care provider.",Turmeric milk. Turmeric has anti-inflammatory properties that may alleviate pain symptoms in the chest. Turmeric milk combines about a teaspoon of turmeric spice with a cup of warm milk.,https://www.youtube.com/embed/IQBa-jQFyGk,"Avoid foods that contain saturated fat and partially hydrogenated or hydrogenated fats These are unhealthy fats that are often found in fried foods processed foods and baked goods Eat fewer foods that contain cheese and cream or eggs,  eating spicy fatty or greasy foods but as with too much caffeine feeling stressed or eating too much may couses the chest pain, Physical activity makes heart attack pain worse not better If your pain improves with activity it may be due to acid reflux, When chest pain strikes during or immediately after exercise the most common cause is a spasm of the lungs small airways so avoid it.",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652274578767_chest pain.jpg?alt=media&token=image,"chest pain,sina dard,chati me dard,","62820d8de9325774c246cb20,62820d8de9325774c246cb21,62820d8de9325774c246cb22,62820d8de9325774c246cb23",627cadc6412fc0e68820c501
Pelvic Pain.,"Severe and steady pain, Pain that comes and goes (intermittent), Dull aching, Sharp pains or cramping, Pressure or heaviness deep within your pelvis, Pain during intercourse, Pain while having a bowel movement or urinating,Pain when you sit for long periods of time","Eating a diet rich in beta-carotene, vitamin C, fruits and vegetables, turmeric milk.",https://www.youtube.com/embed/l5_IkPiYA-w,"Many of foods can cause the bladder and other areas of the pelvic floor to become irritated Caffeinated beverages Alcohol Highly acidic fruits and veggies tomatoes cranberries and oranges Carbonated beverages soda Spicy foods 
Artificial sugars and sweeteners example Splenda, If you are at risk of getting a pelvic injury you should avoid any exercise which puts a strain on the upper abdominal muscles, Such vigorous activities can overload the muscles of the pelvic floor and cause pain when you are done exercising you must have to aware about that",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652275316667_palvic pain.jpeg?alt=media&token=image,"Pelvic Pain,female problem,vagina problem",62820d8de9325774c246cb39,627cadc6412fc0e68820c504
Anti aging,"free radicals, inflammation, glycation, stress, loss of bone structure, loss of fat and loss of volume. Sun spots. Sun spots, also called age spots and liver spots, are flat spots on your skin caused by years of sun exposure. Gaunt hands. Inflammation or hyperpigmentation along chest. Dry or itchy skin. Wrinkles or sagging. Hair loss.","almond oil, fractionated coconut oil, argan oil, evening primrose oil, Apply a small amount to the inside of your wrist and wait 24 hours.
After 24 hours, check if there’s any sign of irritation.
Avoid using it if you experience redness, burning, or stinging.",https://www.youtube.com/embed/akAP49lkzGg,"Keep Your Hands Away From Your Face Sleeping with your hands pressed against your face is a common sleep mistake that many people make without even realizing it, Upgrade Your Pillow Not a back sleeper, dont go in sun light as possible, Avoid repetitive facial expressions, Foods That Speed Up Your Bodys Aging Process Plus Potential Swaps such as Fries White bread White sugar Margarine Processed meats Dairy Caffeine and sugar or Alcohol.",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652275367649_anti aging.jpg?alt=media&token=image,"Anti aging,jhurriya,budapa dikhna","62820d8de9325774c246cb24,62820d8de9325774c246cb25,62820d8de9325774c246cb26,62820d8de9325774c246cb27",627cadc6412fc0e68820c506
Insomania,"Improper diet and lifestyle leading to aggravation of vata and pitta. Regular use of stimulants such as tea and coffee. Excess cold, dry, fried, spicy food
Supressed emotions. Over-excitement and emotional disturbances such as worry, anger, and overworky. Not feeling well-rested after a night's sleep. Daytime tiredness or sleepiness. Irritability, depression or anxiety. Difficulty paying attention, focusing on tasks or remembering. Increased errors or accidents. Ongoing worries about sleep.","Sip warm milk before bed, Relax with yoga and meditation, Reduce screen time, Cut caffeine.",https://www.youtube.com/embed/WAuAspDGqwQ,"worst foods for sleep High levels of caffeine in chocolate make it a poor choice for late night snacking,cheese is actually one of the worst foods to eat before bed and Curry Ice cream Crisps Cherries Raw honey Bananas, Computers TVs video games smartphones or other screens just before bed can interfere with your sleep cycle",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652280274299_insomnia1.jpg?alt=media&token=image,"nind nhi aana,bechen hona,sleep disorder,Insomania","62820d8de9325774c246cb28,62820d8de9325774c246cb29,62820d8de9325774c246cb2a,62820d8de9325774c246cb2b",627cadc6412fc0e68820c508
fatigue,"physical exertion. lack of physical activity. lack of sleep. being overweight or obese. periods of emotional stress. boredom. grief. taking certain medications, such as antidepressants or sedatives. chronic tiredness or sleepiness. headache. dizziness. sore or aching muscles. muscle weakness. slowed reflexes and responses. impaired decision-making and judgement. moodiness, such as irritability.","Dates (khajur): Two or three dates boiled in milk for 8 to 10 minutes helps to eliminate fatigue, Banana: Have two ripe bananas everyday (either as a snack or along with your meals) as they contain plenty of pick-me- up nutrients. Date Honey Banana Shake is a delicious remedy to avoid as well as overcome fatigue.",https://www.youtube.com/embed/I-r3nqs1G9U,"Avoiding structural irregularities or revising the design eliminating sharp changes along the edges that lead to square edges will lead to a higher fatigue strength,  avoid dehydration caffiene, Don’t skip meals, Don’t overeat, Avoid sleeping pills, Don’t smoke",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652280305121_fatigue .jpg?alt=media&token=image,"thakan,thakavat,weeknesh,kamjori,chakkar,sir ghumna,ghabrahat,fatigue","62820d8de9325774c246cb2c,62820d8de9325774c246cb2d,62820d8de9325774c246cb2e,62820d8de9325774c246cb2f",627cadc6412fc0e68820c509
osteoarthritis,"Osteoarthritis occurs when the cartilage that cushions the ends of bones in your joints gradually deteriorates. Cartilage is a firm, slippery tissue that enables nearly frictionless joint motion. Eventually, if the cartilage wears down completely, bone will rub on bone.
Osteoarthritis has often been referred to as a wear and tear disease. But besides the breakdown of cartilage, osteoarthritis affects the entire joint. It causes changes in the bone and deterioration of the connective tissues that hold the joint together and attach muscle to bone. It also causes inflammation of the joint lining. Joint pain, Joint tenderness, Joint stiffness, Loss of flexibility and range of motion, Extra pieces of bone that form around a joint and feel like hard lumps (bone spurs), Hearing or feeling a grinding sensation when using a joint","Manage your weight, Get enough exercise , Use hot and cold therapy, Try acupuncture, Use meditation to cope with pain, Follow a healthy diet, Add turmeric to dishes, Get a massage, Consider herbal supplements,",https://www.youtube.com/embed/6vApr0WXgMM,"These foods are best avoided Red meat and fried foods. Fried foods and red meat contain high levels of advanced glycation end products,  try t take less Sugars, avoid Dairy, reduse use of Refined carbohydrates,  avoid Alcohol and tobacco",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652280337244_osteoarthritis.jpg?alt=media&token=image,"gath,gathiya,jodo me dard,joint pain,osteoarthritis","62820d8de9325774c246cb30,62820d8de9325774c246cb31,62820d8de9325774c246cb32,62820d8de9325774c246cb33",627cadc6412fc0e68820c510
Chronic Constipation,"Eating foods low in fiber. Not drinking enough water (dehydration). Not getting enough exercise. Changes in your regular routine, such as traveling or eating or going to bed at different times. Eating large amounts of milk or cheese. Stress. Resisting the urge to have a bowel movement. Passing fewer than three stools a week.Having lumpy or hard stools. Straining to have bowel movements. Feeling as though there's a blockage in your rectum that prevents bowel movements. Feeling as though you can't completely empty the stool from your rectum.","Drink more water,  Eat more fiber, especially soluble, non-fermentable fiber, Exercise more, Drink coffee, especially caffeinated coffee, Take Senna, an herbal laxative, Eat probiotic foods or take probiotic supplements, Over-the-counter or prescription laxatives, Try a low FODMAP diet, Eat shirataki noodles or take a glucomannan supplement, Eat prebiotic foods, Try magnesium citrate, Eat prunes, Try avoiding dairy.",https://www.youtube.com/embed/RoMHMb-4tKc,"Alcohol is frequently mentioned as a likely cause of constipation, Gluten is a protein found in grains like wheat barley rye spelt kamut and triticale, avoid avoid Processed grains and Milk and dairy products,  dont eat Red meat, dont tae Fried or fast foods and Persimmon",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652280413931_Constipation.png?alt=media&token=image,"Chronic Constipation,pet dard,khana na pachna,pet saf nhi hona","62820d8de9325774c246cb36,62820d8de9325774c246cb37,62820d8de9325774c246cb38,62820d8de9325774c246cb35",627cadc6412fc0e68820c511
