name,causes,homeRemedies,yogaLink,precaution,image,keyword,mId,category
Asthama,"Shortness of breath, Chest tightness or pain, Wheezing when exhaling, which is a common ,sign of asthma in children Trouble sleeping caused by shortness of breath, coughing or wheezing Coughing or wheezing attacks that are worsened by a respiratory virus, such as a cold or the flu Airborne allergens, such as pollen, dust mites, mold spores, pet dander or particles of cockroach waste, Respiratory infections, such as the common cold, Physical activity, Cold air, Air pollutants and irritants, such as smoke
Certain medications, including beta blockers, aspirin, and nonsteroidal anti-inflammatory drugs, such as ibuprofen (Advil, Motrin IB, others) and naproxen sodium (Aleve), Strong emotions and stress, Sulfites and preservatives added to some types of foods and beverages, including shrimp, dried fruit, processed potatoes, beer and wine, Gastroesophageal reflux disease (GERD), a condition in which stomach acids back up into your throat","Honey And Cloves. To strengthen the lungs,a mixture of cloves (at least 7-8) and banana  needs to be kept overnight and eaten the next day,  Herbal Tea,Panchakarma ,Adulsa ,Curcumin ,Mustard Oil ,Honey And Onion.",https://www.youtube.com/embed/2RIIsf_3fu4,"When you suffer with asthma you should not eat these foods like Eggs,avoid Cows milk and Peanuts Soy Wheat Fish Shrimp and other shellfish,dont eat Tree nuts,avoid Running and jogging or soccer can be too much for a person with asthma if they are not accustomed to exercising, It is best to avoid exercising in cold or dry environments, The types of exercise that involve cold weather such as ice hockey skiing and other winter sports are more likely to cause asthma flare-ups",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652850821656_asthma.jpg?alt=media&token=image,"Asthama,ghbrahat,dma,swash rog,?????-???,???,??????,swash rog","628250ea3f6fd07157c9a688
,628250ea3f6fd07157c9a689,628250ea3f6fd07157c9a68a,628250ea3f6fd07157c9a68b

",627cad2b412fc0e68820c483
Digestive,"Bleeding, Bloating, Constipation, Diarrhea, Heartburn, Incontinence,Nausea and vomiting,Pain in the belly,Swallowing problems,Weight gain or loss .  Eating a diet low in fiber ,Not getting enough exercise,Traveling or other changes in routine,Eating large amounts of dairy products,Stress,Resisting the urge to have a bowel movement.","Amla (Indian Gooseberry) You may not know but Amla juice is very effective
in relieving acidity and heartburn, Bael Sharbat (Wood apple Juice), Ghritkumari (Aloe Vera), Chaach (Buttermilk), Isabgol ( Flea seeds), Triphala.",https://www.youtube.com/embed/IvAx7q2LKqk,"While digestion is taking place it is important to avoid certain types of high-impact exercise such as running kick boxing trampolining dancing and team sports, Foods to Avoid When Digestive Troubles arise are Spoiled or unwashed foods, Bacteria from old or raw foods can cause food poisoning cramps or other issues if it gets into your system, dont take Spicy and hot food Acidic foods Alcohol, avoid sleeping on your stomach It compresses the organs of your digestive system",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652850850520_digestive.jpg?alt=media&token=image,"pachan problem,digestive,???? ??????,hajma,pacham samndhi","628250ea3f6fd07157c9a69d
,628250ea3f6fd07157c9a69e,628250ea3f6fd07157c9a69f,628250ea3f6fd07157c9a6a0",627cadc6412fc0e68820c488
Exzema,"your skin gets itchy, raw, burns, and stings. These itchy bumps called hives may grow
on your skin. Fluid-filled blisters can occur that ooze and crust over.
Over time, your skin can get thicker and more wearisome. Genetics ,Abnormal activity of the
immune system, Activities that can make the skin more sensitive ,Defects in the skin membrane
that supply moisture and germs for endocrine diseases such as thyroid disease.","Oatmeal bath. Colloidal oatmeal is a fine powder made of ground oats,Coconut oil. Coconut oil is ideal for dryness,Hempseed oil. When applied topically, hempseed oil can hydrate and strengthen the skin,Sunflower oil. You can also use sunflower oil as a natural moisturizer,Witch hazel,Aloe vera gel.",https://www.youtube.com/embed/TiufDl7qD4U,"Without enough sleep not only can your health and mental well being suffer but your eczema can get worse too, Some common foods that may trigger an eczema flare up and could be removed from a diet include citrus fruits dairy products eggs gluten or wheat soy spices tomatoes some types of nuts, Many people with eczema find that wool and synthetic materials such as polyester and nylon cause overheating sweating and irritation which set off the dreaded itch Rough seams fibres fastenings and threads can also cause problems for sensitive skin.",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652850869440_eczema.jpg?alt=media&token=image,"eczema,????,Atopic dermatitis,reaction,allergy,khujli,charmrog","628250ea3f6fd07157c9a68c,628250ea3f6fd07157c9a68d,628250ea3f6fd07157c9a68e,628250ea3f6fd07157c9a68f",627cadc6412fc0e68820c489
high blood pressure,"Most people with high blood pressure have no signs or symptoms, even if blood pressure
readings reach dangerously high levels.A few people with high blood pressure may have
headaches, shortness of breath or nosebleeds, but these signs and symptoms aren't specific
and usually don't occur until high blood pressure has reached a severe or life-threatening stage. such as thyroid disease.
1.Primary (essential) hypertension - For most adults, there's no identifiable cause of high blood pressure. This type of high blood pressure, called primary (essential) hypertension, tends to develop gradually over many years.2. Secondary hypertension - Obstructive sleep apnea,Kidney disease,Adrenal gland tumors,Thyroid problems, Certain defects you're born with (congenital) in blood vessels Certain medications, such as birth control pills, cold remedies, decongestants, over-the-counter pain relievers and some prescription drugs,Illegal drugs, such as cocaine and amphetamines","Add a teaspoon of coriander and a pinch of cardamom to one cup freshly squeezed peach juice. Drink this solution as many as two or three times a day to help deal with high blood pressure,  Try consuming some moong dal soup, and add some cilantro, cumin, and a pinch of turmeric. Moong dal helps bring down the high blood pressure,  Honey water is also said to help. All you need to do is to add a teaspoon of honey and five to 10 drops of apple cider vinegar to a cup of hot water. Drink it early morning on an empty stomach. This drink helps reduce cholesterol, maintains vasodilation and helps to regulate blood pressure,  Mix orange juice and coconut water in a ration of two is to one. Drink half to one cup at least two to three times a day, Cucumber raita is said to be a good diuretic that helps keep blood pressure along with digestive health in check, Eat some watermelon with a pinch of cardamom and a pinch of coriander added. This is said to act as a mild diuretic and will help to regulate blood pressure",https://www.youtube.com/embed/NDp_jRfVA5k,"Salt or sodium Salt or specifically the sodium in salt is a major contributor to high blood pressure and heart disease so you must have to avoid it, Deli meat and Processed deli and lunch meats are often packed with sodium, dont take Frozen pizza and Pickles Canned soups Canned tomato products Sugar Processed foods with trans or saturated fat, The less you sleep the higher your blood pressure may go, People who sleep six hours or less may have steeper increases in blood pressure, If you already have high blood pressure not sleeping well may make your blood pressure worse",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652850891283_high blood pressure.jpg?alt=media&token=image,"High Blood Pressure,??? ???? ??????, ??? ???? ,???? ??????,????? ???????? ,hypertension,chhakar","628250ea3f6fd07157c9a690
,628250ea3f6fd07157c9a691",627cadc6412fc0e68820c490
high cholesterol  level,"High cholesterol has no symptoms. A blood test is the only way to detect if you have it.causes of high cholesterol -Chronic kidney disease,Diabetes,HIV/AIDS,Hypothyroidism,Lupus","Drink Coriander Seed Infused Water , Add Turmeric In Your Food, Eat Raw Amla Or Drink Amla Juice, Drink Green Tea, Consume Flaxseeds, Eat More Soluble Fibres.",https://www.youtube.com/embed/y05IQfSoJn0,"avoid Foods high in (unhealthy) saturated fats include processed or deli-style meats (such as ham bacon and salami), avoid deep fried fast foods processed foods (such as biscuits and pastries), avoid takeaway foods (such as hamburgers and pizza) fat on meat and skin on chicken ghee lard and copha coconut oil, avoid smoking",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652850909541_high cholestrol.jpg?alt=media&token=image,"
??? ???????????, High Cholesterol,","628250ea3f6fd07157c9a692,628250ea3f6fd07157c9a693,628250ea3f6fd07157c9a694,628250ea3f6fd07157c9a695",627cadc6412fc0e68820c491
rheumatoid arthritis,"Tender, warm, swollen joints Joint stiffness that is usually worse in the mornings and after inactivity Fatigue, fever and loss of appetite Areas that may be affected include: Skin,Eyes,Lungs,Heart,Kidneys,Salivary glands,Nerve tissue,Bone marrow,Blood vessels
Rheumatoid arthritis is an autoimmune disease. Normally, your immune system helps protect your body from infection and disease. In rheumatoid arthritis, your immune system attacks healthy tissue in your joints. It can also cause medical problems with your heart, lungs, nerves, eyes and skin.","using hot water, not cold, to bathe in and drink, avoiding exposure to cold breezes,  avoiding late-night or late-afternoon naps, practicing yoga to relieve mental stress, using massage therapy with herbal oils to reduce pain and stiffness.",https://www.youtube.com/embed/Mk6vyXPNhTg,"People with RA should avoid strenuous exercise or any exercises that cause pain, Some RA medication can cause drowsiness and napping or falling asleep during the day can make it more difficult to sleep at night People should try to avoid taking a nap during the day for this reason, Foods to Avoid When You Have Rheumatoid Arthritis Red Meat, Many cuts of red meat contain high levels of saturated fat which can exacerbate inflammation and also contribute to obesity, Do not eat Sugar and Refined Flour, avoid Fried Foods and Gluten, avoid Alcohol and Processed Foods,",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652850933106_rheumatoid arthritis.jpeg?alt=media&token=image,"??????? ?????,Rheumatoid arthritis, ?????,??????, ???????, ???, ???? ?? ????? ?? ?????? ??? ????  adiya dard,jodo ka dardd,kalai dard,ghutno ka dard","628250ea3f6fd07157c9a698
,628250ea3f6fd07157c9a696,628250ea3f6fd07157c9a697",627cadc6412fc0e68820c492
stress,"Physical symptoms of stress include: Aches and pains, Chest pain or a feeling like
your heart is racing,Exhaustion or trouble sleeping,Headaches, dizziness or shaking
,High blood pressure,Muscle tension or jaw clenching,Stomach or digestive problems,
Trouble having sex,Weak immune system.Stress can lead to emotional and mental symptoms like:Anxiety or irritability,Depression,Panic attacks,Sadness.The Main Causes of Stress Financial Problems,Work,Personal Relationships,Parenting,Daily Life and Busyness,Personality and Resources.
","Exercising helps in releasing endorphins (feel good hormones) in the body. Exercises like running and swimming, Include plenty of vegetables and fruits in your diet to increase your intake of vitamins and antioxidants. Avoid eating non vegetarian foods, You can practice relaxation techniques like meditation, You may also include herbs like brahmi that has properties which can reduce stress levels in your body, Massage therapy: You may opt for massage therapy to reduce stress levels in the body.",https://www.youtube.com/embed/sTANio_2E0Q,"If you're feeling stressed try to avoid these foods Alcohol Caffeine Sugary drinks, avoid foods Processed foods such as chips cookies frozen foods and ready-made meals, Avoid Foods high in trans fats and excessive saturated fats such as fried foods, Avoid red meat full-fat dairy butter and baked goods, should not stay up late at night,",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652851006728_stress.jpg?alt=media&token=image,"Stress,????,???? ,
tension, ???? ?? ?????, mansik tanao,thakan,tanao","628250ea3f6fd07157c9a699,628250ea3f6fd07157c9a69a,628250ea3f6fd07157c9a69b,628250ea3f6fd07157c9a69c",627cadc6412fc0e68820c493
Acne/pimple,"Whiteheads (closed plugged pores),Blackheads (open plugged pores),Small red, tender bumps (papules) Pimples (pustules), which are papules with pus at their tips,Large, solid, painful lumps under the skin (nodules),Painful, pus-filled lumps under the skin (cystic lesions) .Excess oil (sebum) productionHair follicles clogged by oil and dead skin cells,Bacteria,Inflammation,Acne typically appears on your face, forehead, chest, upper back and shoulders because these areas of skin have the most oil (sebaceous) glands. Hair follicles are connected to oil glands.
","Amla Juice-Drink Amla juice everyday. Amla, or Indian gooseberry, is Ayurveda's most prized possession when it comes to skin treatment, Herbal MixtureMake a powdered mixture of coriander seeds, fennel, basil, turmeric, and amla in equal parts. All of these seeds and herbs are packed with antioxidants that kill inflammation beneath the skin. Take half teaspoon of this powder 15 minutes before lunch and dinner, and wash it down with hot water, Ayurvedic Concoction of kutki, guduchi and shatavari mixture of kutki, guduchi and shatavari can do wonders. ""Make a mixture of equal proportions of the three herbs, and take 1/4th teaspoon of the mixture 2 or 3 times a day. After meals, place the powder on your tongue and wash it down with cold water"", MelonsApplying melon on your skin may also help, Cumin Coriander-Fennel teaDrinking cumin coriander-fennel tea.",https://www.youtube.com/embed/VQkAT9Nc_vM,"People with acne tend to consume more refined grains and sugar  Consuming dairy products like cheese full-fat yoghurt milk and ice cream are the main culprits behind acne,  Dont take Chocolates and High glycemic index foods or Omega-6 fatty acids rich foods, Acne can flare up when you aren't getting enough sleep, try to avoid waer the synthetic fabrics (polyester, acrylic, nylon,), sweat proof sport clothing, and even friction from your phone can trigger or worsen acne, precuations you must have to take when you suffer from acne or pimples are If you wear makeup remove it prior to your workout, If your hair is long pull it back and off your face, Wipe down any equipment that's going to be touching your face, Wipe down shared exercise equipment, Avoid touching your face with your hands",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652851022951_acne_pimples.jpg?alt=media&token=image,"Acne,Pimples,muhashe,kile,funshi","628250ea3f6fd07157c9a6a1,628250ea3f6fd07157c9a6a2,628250ea3f6fd07157c9a6a3,628250ea3f6fd07157c9a6a4",627cadc6412fc0e68820c494
ankylosing spondylitis,"The areas most commonly affected are:The joint between the base of the spine and the pelvis,
The vertebrae in the lower back,The places where tendons and ligaments attach to bones, mainly in the spine, but sometimes along the back of the heel,The cartilage between the breastbone and the ribs,The hip and shoulder joints. Ankylosing spondylitis has no known specific cause, though genetic factors seem to be involved. In particular, people who have a gene called HLA-B27 are ata greatly increased risk of developing ankylosing spondylitis. However, only some people with the gene develop the condition.","Stretching, Stretching helps build flexibility and may reduce pain. Consider adding spine stretches or lower back stretches (like the trunk rotation stretch) to your daily routine, To reduce stiffness and pain, apply a hot-water bottle or heating pad to the affected area. You may also use moist or dry heat. A warm bath may also help, especially before exercise, Applying an ice pack, cold gel pack, or a bag of frozen vegetables to painful joints can help reduce swelling. After exercise, cold therapy may help reduce inflammation, Acupuncture is a complementary therapy that involves inserting thin needles into specific points in your skin. This is thought to activate your body’s pain-relieving hormones,",https://www.youtube.com/embed/Pz0WR3EKO1k,"Carefully consider high-impact exercises such as running or jarring and twisting sports such as tennis squash and racquetball These could increase pain in the spine hips and knees, Some foods can trigger ankylosing spondylitis so it's important to avoid certain foods to prevent inflammation These include foods that are high in fat salt, and sugar processed foods dairy products alcohol caffeine artificial sweeteners, Sleep on a firm mattress, dont sleep on thick pillow, Things That Could Make Your Ankylosing Spondylitis Worse that are Too Little Movement and Poor Posture and  Cigarettes or Stress Problems, Not Pacing Yourself or Flare-Ups",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652851104949_ankylosing_spondylitisthu.webp?alt=media&token=image,"Ankylosing spondylitis,rid ki haddi ka dard,rid","628250ea3f6fd07157c9a6a7,628250ea3f6fd07157c9a6a8,628250ea3f6fd07157c9a6a6,628250ea3f6fd07157c9a6a5",627cadc6412fc0e68820c495
back pain,"Back pain can range from a muscle aching to a shooting, burning or stabbing sensation.
In addition, the pain may radiate down your leg or worsen with bending, twisting, lifting,
standing or walking.back pain causes--Muscle or ligament strain. Back pain often develops
without a cause that your doctor can identify with a test or an imaging study. Conditions
commonly linked to back pain include:-Muscle or ligament strain,Bulging or ruptured disks,
Arthritis,Osteoporosis","Mix camphor in coconut oil and boil it for 5 minutes. Cool it and store it in a bottle.Massage it twice in a week before going to sleep to get rid of backache, In a bucket of lukewarm or slightly hot water, add few drops of eucalyptus oil. Taking a bath with this water will help you get rid of backache as well as body pain. Not just that, it makes you feel stress-free, While you're spending some time watching TV, put a hot-water bag on back supported by a cushion. The heat based treatment will help you recover backache, Massage your back with mustard oil an hour prior to going for a shower. Make sure you take a hot water shower, Add ginger while brewing your tea, it will help you lower the chances of backache.",https://www.youtube.com/embed/ruLshJ6E0Uo,"Worst Exercises for Back Pain Crunches, Try this instead Modified sit-ups Start by lying on your back, Avoid High-impact activities, Try this instead Water aerobics or yoga, Avoid Running, Try this instead Walking, Avoid Biking off road Try this instead Use a recumbent bike, Foods To Avoid While Experiencing Back Pain Sugary Foods Sugary foods are among the worst foods that you can eat Vegetable Oil Most vegetables are high in omega 6 fatty acids Refined Grains It is best to eat whole grains instead of refined grains Dairy Products Processed Corn Red Meat Foods With Chemicals, Do muscle-strengthening and stretching exercises at least 2 days a week, Stand and sit up straight, Avoid heavy lifting, If you do lift something heavy, bend your knees and keep your back straight, Get active and eat healthy, Being overweight can strain your back.",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652851073055_back pain .jpg?alt=media&token=image,"Back pain,kamar dard,pit dard,sholder dard,rid ki haddi dard","628250ea3f6fd07157c9a6a9,628250ea3f6fd07157c9a6ab",627cadc6412fc0e68820c496
