name,causes,homeRemedies,yogaLink,precaution,image,keyword,mId,category
headache,"Alcohol use, Changes in eating or sleeping patterns, Depression,Emotional stress related to family and friends, work or school, Excessive medication use, Eye neck or back strain caused by poor, posture, Lighting, Noise,Deep and constant pain in the cheekbones, forehead, or bridge of the nose","Drink Water, Take Some Magnesium, Limit Alcohol, Get Adequate Sleep, Avoid Foods High in Histamine, Use Essential Oils",https://www.youtube.com/embed/mj2IBoPK8EU,"Reduce stress, Change diet, Eliminate caffeine, Get some sleep, Quit smoking, Take preventative medications",https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653372629510_2headache.jpeg?alt=media&token=image,"headache,sar dard, sar dukhna, sar me dard hona, headache hona","628b876e246009f8d7c6acf3,628b876e246009f8d7c6acf4,628b876e246009f8d7c6acf5",628b7d5d2f61643132a89b1f
hand pain,"Arthritis, Carpal tunnel syndrome, De Quervain's tenosynovitis, Ganglion cysts, Gout, Lupus, Peripheral neuropathy, Raynaud's phenomenon, joints to become swollen, painful and possibly deformed","Apply ice to the area for 20 minutes, Wear a compression bandage to prevent swelling and additional blood loss, While resting, raise the injury above the heart to help reduce swelling",https://www.youtube.com/embed/vH8iwcuaM9o,"Rest the injured area and avoid the activity that caused the injury, avoid to lifting things holding things",https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653372707300_3hand pain.jpg?alt=media&token=image,"hand pain, hath ka dukhna, hatho me dard hona","628b876e246009f8d7c6acf6,628b876e246009f8d7c6acf7,628b876e246009f8d7c6acf8",628b7d5d2f61643132a89b1f
leg pain,"Cramping or seizing of muscles, Tenderness, Stiffness, Redness or bruising, Swelling, Muscle weakness or knees buckling,Difficulty walking","If movement is painful at first, rest your legs and stay off them as much as you can until you're able to move without pain, Keep an ice pack on your legs for about 20 minutes every hour over the first 3 days after symptoms start, Compression, Elevation.",https://www.youtube.com/embed/FRt9zRpu6Ew,"est as much as possible.
Elevate your leg.
Apply ice for up to 15 minutes. Do this 4 times per day, more often for the first few days, Gently stretch and massage cramping muscles, Take over-the-counter pain medicines such as acetaminophen or ibuprofen",https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653372745034_4leg pain.jpg?alt=media&token=image,"leg pain, pair ka dukhna, per ka dard, per me dard hona","628b876e246009f8d7c6acf9,628b876e246009f8d7c6acfa,628b876e246009f8d7c6acfb",628b7d5d2f61643132a89b1f
jaundice,"Fever, Chills, Abdominal pain, Flu-like symptoms, Change in skin color, Dark-colored urine and/or clay-colored stoo the skin, whites of the eyes and mucous membranes turn yellow because of a high level of bilirubin, a yellow-orange bile pigment","1/4 tsp of turmeric powder mixed in a glass of hot water taken 2-3 times a day, Make a paste of tender papaya leaves. Take 1/2 tsp of this paste with 1 tsp honey,Boil 1 cup of water, when it boils add 8-10 lemon leaves. Cover and leave for 4-5 minutes.",https://www.youtube.com/embed/lMHGg8FP6nk,"Drink at least eight glasses of fluids per day, Consider adding milk thistle to your routine, Opt for fruits like papaya and mango, which are rich in digestive enzymes",https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653372764744_5jaundice.jpg?alt=media&token=image,"jaundice,animosity,animus, antagonism,antipathy,bad blood","628b876e246009f8d7c6acfc,628b876e246009f8d7c6acfd,628b876e246009f8d7c6acfe",628b7d5d2f61643132a89b1f
malaria,"a parasite that commonly infects a certain type of mosquito which feeds on humans,  high fevers, shaking chills, and flu-like illness","The antibacterial nature of ginger ensures that the disease does not increase further, Having 2 cups of herbal tea or turmeric milk every day is an effective treatment for malaria",no video availabe,"Using mosquito nets and mosquito repellents help in preventing mosquitoes in the first place, Apply mosquito repellent with DEET",https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653372780333_6malaria.webp?alt=media&token=image,"ague, miasm, miasma fever and ague, jungle fever, paludism","628b876e246009f8d7c6acff,628b876e246009f8d7c6ad00,628b876e246009f8d7c6ad01",628b7d5d2f61643132a89b1f
dengue,"viral infection transmitted to humans through the bite of infected mosquitoes, High fever that fluctuates, Pain behind the eyes, Muscle and joint pain,A severe headache","Giloy juice is a well-known remedy for dengue fever, Papaya leaf juice. As platelet count comes down in dengue patients, papaya leaf juice is a great remedy to increase platelet count, Fresh guava juice, Fenugreek seeds, Immunity boosting foods.",no video availabe,The mosquitoes that carry the dengue viruses are most active from dawn to dusk keep windows and doors closed during theses hours,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653372809967_7dengue.jpg?alt=media&token=image,"dengue, tez bukhar","628b876e246009f8d7c6ad02,628b876e246009f8d7c6ad03,628b876e246009f8d7c6ad04",628b7d5d2f61643132a89b1f
hernia,"Picking up heavy objects (especially lifting them in the wrong way and with weak muscles)
Overusing the same muscle, Straining during coughing, sneezing, diarrhea, or constipation, Being overweight or having poor nutrition, Using tobacco, Swelling or bulge in the groin or scrotum (the pouch that contains the testicles), Increased pain at the site of the bulge, Pain while lifting.
Increase in the bulge size over time, A dull aching sensation, A sense of feeling full or signs of bowel obstruction","Take care when lifting heavy objects, Stay at a healthy weight, Do not smoke, Smoking can cause coughing, which can cause your hernia to bulge, Talk with your doctor before wearing a corset or truss for a hernia.",https://www.youtube.com/embed/nAXL29adEQg,"Avoid heavy lifting, or do it carefully, See a doctor when you have a persistent cough",https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653372872963_8hernia.webp?alt=media&token=image,"hernia, sujan, swellen","628b876e246009f8d7c6ad05,628b876e246009f8d7c6ad06,628b876e246009f8d7c6ad07",628b7d5d2f61643132a89b1f
tonsils,"Severe sore throat, Pain with swallowing, Hoarse or scratchy voice, Foul odor from the mouth, Fever or chills, Pain in the ears, Pain in the stomach, Headaches, Neck stiffness, Erythematous appearing tonsils.",Gargling and rinsing with warm salt water can help sooth a sore throat and pain caused by tonsillitis,https://www.youtube.com/embed/q4_6SMjgyI8,"Avoiding hard foods, Avoiding straining the voice",https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653372894812_9tonsils.jpeg?alt=media&token=image,"tonsils, gale ka dukhna, gale me dard","628b876e246009f8d7c6ad08,628b876e246009f8d7c6ad09,628b876e246009f8d7c6ad0a",628b7d5d2f61643132a89b1f
lungs pain,"Costochondritis, Hyperventilation, Lung cancer, Pneumothorax, Pleural effusion, Pleurisy, Pneumonia,  particularly chest pain that radiates down the left arm, coughing up blood","Take an over-the-counter pain reliever. Over-the-counter (OTC) pain relievers like ibuprofen (Advil) can help to reduce your fever and alleviate pain, Drink some fenugreek tea, Stay hydrated, Apply a lukewarm compress or take a lukewarm bath.",https://www.youtube.com/embed/3aY-1X3-7YU,"avoid fried food, avoid cold water, never smoke, if you are addicted with smoking immediately stop this",https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653372925995_10lungs pain.webp?alt=media&token=image,"lungs pain, lungs me dard, lungs ka dukhnna, lungs problem, seene me dard","628b876e246009f8d7c6ad0b,628b876e246009f8d7c6ad0c,628b876e246009f8d7c6ad0d",628b7d5d2f61643132a89b1f
eye pain,"The most common cause of eye pain is simply having something in your eye,  The conjunctiva is the tissue that lines the front of the eye and the underside of the eyelid, ","Try not to touch or rub your eyes, Wear sunglasses when outside, Drink enough water to stay hydrated, Get sufficient sleep to rest your body and eyes.",https://www.youtube.com/embed/UicwXt3jHvE,"When watching television, it may be easier on your eyes if you keep the room softly lit",https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653372949379_11eye pain.jpg?alt=media&token=image,"eye pain, ankho ka dukhna, ankho me dard, ankho me jalan","628b876e246009f8d7c6ad0e,628b876e246009f8d7c6ad0f,628b876e246009f8d7c6ad10",628b7d5d2f61643132a89b1f
