name,causes,home Remedies,yogaLink,precaution,image,keyword,mId,category
Head Lice (Pediculosis Capitis),"Lice feed on human blood and can infest the human head, body and pubic area. The female louse produces a sticky substance that firmly attaches each egg to the base of a hair shaft. Eggs hatch in six to nine days, You can get lice by coming into contact with either lice or their eggs. Lice can't jump or fly. They spread through, Head-to-head or body-to-body contact. This may occur as children or family members play or interact closely, Proximity of stored belongings. Storing infested clothing in closets lockers or on side-by-side hooks at school, or storing personal items such as pillows, blankets, combs and stuffed toys in proximity at home can permit lice to spread, Items shared among friends or family members. These may include clothing headphones brushes combs hair decorations towels blankets pillows and stuffed toys, Contact with contaminated furniture. Lying on a bed or sitting in overstuffed, cloth-covered furniture recently used by someone with lice can spread them. Lice can live for one to two days off the body, Sexual contact Pubic lice usually spread through sexual contact and most commonly affect adults. Pubic lice found on children may be a sign of sexual exposure or abuse","Wash your hair with vinegar. The first step is to wash your hair with a mixture of vinegar and warm water, Use a mixture of essential oils, Comb your hair using a fine-tooth comb, Wash your clothes in hot water, Repeat all the steps after 9 days",No video available,"Don’t share personal items such as clothing, hats, combs, or hair accessories, Machine wash all of your personal items and clothing in hot water and place them in a hot dryer for at least 20 minutes, If your personal items can’t be washed place them in a sealed plastic bag for 5 to 7 days",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652713375114_head-lice-on-head.jpg?alt=media&token=image,"sar ke kide, juwa,Head Lice (Pediculosis Capitis)","628dc70f0f6f8d95df795324,628dc70f0f6f8d95df795325,628dc70f0f6f8d95df795326",627fc77ac84867d544bd39f2
Hair Loss (Alopecia Areata),"The condition occurs when white blood cells attack the cells in hair follicles, causing them to shrink and dramatically slow down hair production It is unknown precisely what causes the body’s immune system to target hair follicles in this way","There are some people that recommend rubbing onion or garlic juice, cooled green tea, almond oil, rosemary oil, honey, or coconut milk into the scalp. While none of these are likely to cause harm, their effectiveness is also not supported by research",No video available,"Wear wigs, hats, or scarves. They cover your hair loss and will protect your head from the sun, Reduce stress, Personal troubles seem to trigger alopecia areata, although this has not been proven scientifically, Telogen effluvium, another form of hair loss, can also be triggered by stress. Learn more about the signs and symptoms of telogen effluvium",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652713403472_alopecia.jpg.webp?alt=media&token=image,"Hair Loss (Alopecia Areata),  baal ka jhadna","628dc70f0f6f8d95df795327,628dc70f0f6f8d95df795328,628dc70f0f6f8d95df795329",627fc77ac84867d544bd39f2
Dandruff,"Irritated and oily skin, Not maintaining clean hygiene and not shampooing enough as it causes skin cells to accumulate and create flakes and itching, A reaction of our immune system to a type of yeast that lives on the skin called a Malassezia globosa, Hormonal issues may be involved because dandruff is most found after puberty in young adults, Sensitivity to hair care products (contact dermatitis), Other skin conditions such as psoriasis and eczema",Coconut Oil with Lemon,No video available,"A diet that provides enough zinc, B vitamins and certain types of fats may help prevent dandruff. Develop a hair and scalp care routine that suits you. If you tend to have an oily scalp, daily shampooing may help prevent dandruff. Gently massage your scalp to loosen flakes",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652713424840_dandruff.webp?alt=media&token=image,"Dandruff,  rusi","628dc70f0f6f8d95df79532a,628dc70f0f6f8d95df79532b,628dc70f0f6f8d95df79532c",627fc77ac84867d544bd39f2
 Folliculitis,"Fungal folliculitis is commonly caused by yeast, while viral folliculitis occurs when the herpes virus spreads to hair follicles usually around the mouth, Non-microbial folliculitis combines multiple types of the condition. These include pseudofolliculitis barbae caused by hair curling back under the skin folliculitis decalvans caused by multiple hairs growing out of the same hair follicle and oil folliculitis caused by exposure to certain oils","Certain at-home treatments take advantage of everyday items’ antiseptic, or anti-inflammatory qualities. Applying white vinegar, neem leaves, garlic, or turmeric can help lessen the effects of bacterial folliculitis, and in some cases cure it",No video available,"Although treatment is important, prevention can literally stop the problem at its root. Simple actions like regular bathing, particularly after exercising, significantly reduce the chances of acquiring folliculitis. Sharing facecloths and towels should be avoided when possible",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652713444526_Folliculiti.webp?alt=media&token=image,"Folliculitis,  sar me infection, sar me fungus","628dc70f0f6f8d95df79532d,628dc70f0f6f8d95df79532e,628dc70f0f6f8d95df79532f",627fc77ac84867d544bd39f2
"Ringworm, Scalp (Tinea Capitis)","Ringworm of the scalp is caused by a common fungus. The fungus attacks the outer layer of skin on the scalp and the hair. This causes those hairs to break. The condition can be spread in the following ways, Human to human. Ringworm often spreads through direct skin-to-skin contact with an infected person, Animal to human. You can contract ringworm by touching an animal with ringworm. Ringworm can spread while petting or grooming dogs or cats with ringworm. Ringworm is fairly common in kittens puppies cows goats pigs and horses, Object to human. It's possible for ringworm to spread by contact with objects or surfaces that an infected person or animal has recently touched. This includes items such as clothing towels bedding, combs and brushes","Soap and water, Apple cider vinegar, Tea tree oil, Coconut oil",No video available,"If you have ringworm on your scalp, wash your hair with an over-the-counter medicated antifungal shampoo",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652713478103_Tinea-capitis2.jpg?alt=media&token=image,"Ringworm, Scalp (Tinea Capitis),  sar me infection, sar me fungus","628dc70f0f6f8d95df795330,628dc70f0f6f8d95df795331,628dc70f0f6f8d95df795332",627fc77ac84867d544bd39f2
"Hair Loss, Female Pattern Baldness (Female Pattern Alopecia) ","Each strand of hair sits in a tiny hole in the skin called a follicle. In general, baldness occurs when the hair follicle shrinks over time, resulting in shorter and finer hair. Eventually, the follicle does not grow new hair. The follicles remain alive, which suggests that it is still possible to grow new hair, The reason for female pattern baldness is not well understood, but may be related to, Aging Changes in the levels of androgens (hormones that can stimulate male features), Family history of male or female pattern baldness, Heavy loss of blood during menstrual periods, Certain medicines such as estrogenic oral contraceptive","Minoxidil Share on Pinterest A variety of issues can cause female hair loss, Light therapy, Ketoconazole, Corticosteroids, Platelet-rich plasma, Hormone therapy, Hair transplant, Use hair loss shampoos",No video available,"Minoxidil (Rogaine, generic versions). This drug was initially introduced as a treatment for high blood pressure, but people who took it noticed that they were growing hair in places where they had lost it. Research studies confirmed that minoxidil applied directly to the scalp could stimulate hair growth. As a result of the studies, the FDA originally approved over-the-counter 2% minoxidil to treat hair loss  in women. Since then a 5% solution has also become available when a stronger solution is need for a woman's hair loss.  minoxidil is not a miracle drug. While it can produce some new growth of fine hair in some — not all — women, it can't restore the full density of the lost hair. It's not a quick fix, either for hair loss in women . You won't see results until you use the drug for at least two months. The effect often peaks at around four months, but it could take longer, so plan on a trial of six to 12 months. If minoxidil works for you, you'll need to keep using it to maintain those results. If you stop, you'll start to lose hair again",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652713502027_ganjapan.jpg?alt=media&token=image,"Hair Loss, Female Pattern Baldness (Female Pattern Alopecia) , baalo ka jhadna, baalo me khujli","628dc70f0f6f8d95df795333,628dc70f0f6f8d95df795334,628dc70f0f6f8d95df795335",627fc77ac84867d544bd39f2
"Hair Loss, Male Pattern Baldness (Male Pattern Alopecia)","cause of male pattern baldness is genetics, or having a family history of baldness. Research has found that male pattern baldness is associated with male sex hormones called androgens. The androgens have many functions, including regulating hair growth.Each hair on your head has a growth cycle. With male pattern baldness, this growth cycle begins to weaken and the hair follicle shrinks, producing shorter and finer strands of hair. Eventually, the growth cycle for each hair ends and no new hair grows in its place","Regularly wash your hair with mild shampoo, Vitamin for hair loss, Enrich diet with protein, Scalp massage with essential oils, Avoid brushing wet hair, Garlic juice, onion juice or ginger juice, Keep yourself hydrated, Rub green tea into your hair",No video available,"There’s no known way to prevent male pattern baldness. A theory is that stress may cause hair loss by increasing the production levels of sex hormones in the body. You can reduce stress by participating in relaxing activities, such as walking, listening to calming music, and enjoying more quiet time",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652713535194_ganjapan2.webp?alt=media&token=image,"Hair Loss, Male Pattern Baldness (Male Pattern Alopecia),  ganjapan","628dc70f0f6f8d95df795336,628dc70f0f6f8d95df795337,628dc70f0f6f8d95df795338",627fc77ac84867d544bd39f2
"Mole, Atypical (Atypical Nevus)","Atypical moles (atypical nevi) or dysplastic moles (dysplastic nevi), are caused by collections of the color-producing (pigment-producing) cells of the skin (melanocytes) in which the cells grow in an abnormal way. Atypical moles may occur as new lesions or as a change in an existing mole. Lesions may be single or multiple. In atypical-nevus syndrome, hundreds of atypical moles may be seen. People with atypical moles may be at increased risk for developing skin cancer (melanoma), with the risk increasing with the number of atypical moles present","burning the mole off with apple cider vinegar, taping garlic to the mole to break it down from the inside, applying iodine to the mole to kill the cells inside, cutting off the mole with scissors or a razor blade",No video available,The best precaution a person can take is to understand their skin. All members of the family should routinely evaluate all the moles on their skin surface to notice any changes and bring these to the attention of their doctor. Doing so can help minimize the risk of melanoma developing into a life-threatening stage,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652713551627_nevus_dysplastic_1_low.jpg?alt=media&token=image,"Mole, Atypical (Atypical Nevus), masse, muhase","628dc70f0f6f8d95df795339,628dc70f0f6f8d95df79533a,628dc70f0f6f8d95df79533b",627fc77ac84867d544bd39f2
Seborrheic Dermatitis,"An inflammatory reaction to excess Malassezia yeast, an organism that normally lives on the skin's surface, is the likely cause of seborrheic dermatitis. The Malessezia overgrows and the immune system seems to overreact to it, leading to an inflammatory response that results in skin changes","Apply coconut oil to your scalp, Use tea tree oil, Put honey in your hair, Wash your skin with apple cider vinegar, Take fish oil supplements, Avoid styling products, Try baby shampoo, Change up your diet",No video available,"Keep the affected areas clean. Wash with soap and water every day. Sunlight may stop the growth of the yeast organisms that are causing the problem, so being outdoors could help make the rash go away",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652713583647_sebderm6-compressed-300x225.jpg?alt=media&token=image,"red skin and stubborn dandruff,  sar me khujli, sar me rusi,Seborrheic Dermatitis","628dc70f0f6f8d95df79533c,628dc5b30ffddd2e0ab18f81,628dc70f0f6f8d95df79533e",627fc77ac84867d544bd39f2
Cradle Cap,"The cause of cradle cap isn't known. One contributing factor may be hormones that pass from the mother to the baby before birth. These hormones can cause too much production of oil (sebum) in the oil glands and hair follicles, Another factor may be a yeast (fungus) called malassezia (mal-uh-SEE-zhuh) that grows in the sebum along with bacteria. Antifungal treatments, such as ketoconazole, are often effective, supporting the idea that yeast is a contributing factor, Cradle cap isn't contagious and it's not caused by poor hygiene"," Brush your baby's scalp, Hydrate the scalp, Wash baby's hair, Apply prescription creams, Try essential oils",No video available,Shampooing your baby's hair every few days can help prevent cradle cap. Stick with a mild baby shampoo unless your baby's doctor recommends something stronger,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652713606199_Baby with cradle cap.jpg?alt=media&token=image,"Cradle Cap, sar me pili papdi, sar ki skin ka nikalna","628dc70f0f6f8d95df79533f,628dc70f0f6f8d95df795340",627fc77ac84867d544bd39f2
Psoriasis,"Psoriasis triggers Many people who are predisposed to psoriasis may be free of symptoms for years until the disease is triggered by some environmental factor , Infections, such as strep throat or skin infections, Weather especially cold dry conditions, Injury to the skin such as a cut or scrape a bug bite or a severe sunburn, Stress, Smoking and exposure to secondhand smoke, Heavy alcohol consumption, Certain medications — including lithium, high blood pressure medications and antimalarial drugs, Rapid withdrawal of oral or systemic corticosteroids, More Information","Exposure to sunlight, Capsaicin, Probiotics , Curcumin, Oregon grape, Aloe vera ",No video available,"Use Moisturizing Lotions, Take Care of Your Skin and Scalp, Avoid Dry, Cold Weather, Use a Humidifier, Avoid Medications That Cause Flare-Ups, Avoid Scrapes, Cuts, Bumps and Infections, Get Some Sun, But Not Too Much, Zap Stress",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652713624959_Untitled_design_copy_bfd7f984-4401-4eba-a1e5-0571961685d4_2000x.webp?alt=media&token=image,"Psoriasis, sar me laal hona, sar me khujli","628dc70f0f6f8d95df795341,628dc70f0f6f8d95df795342,628dc70f0f6f8d95df795343",627fc77ac84867d544bd39f2
Lichen Planus,"The cause of lichen planus is usually not known, although possible causes include: Hepatitis C, a virus that attacks your liver. Certain medicines, including some drugs used to treat high blood pressure, diabetes, heart disease, and malaria. Reactions to metal fillings in your teeth","Although there is little objective evidence of its benefits, green tea has been suggested as a treatment for lichen planus. It is likely to be a safe approach",No video available,"If you have lichen planus on your scalp, treatment is important to prevent permanent hair loss. Lichen planus has no cure, but different treatments can help relieve your symptoms and speed healing. Possible treatments include: Antihistamine medicine to relieve itching",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652713642243_29227tn.jpg?alt=media&token=image,"Lichen Planus,  sar me chhoote dadne hona, sar me khujli hona","628dc70f0f6f8d95df795344,628dc70f0f6f8d95df795345,628dc70f0f6f8d95df795346",627fc77ac84867d544bd39f2
