name,price,description,stock,image,keyword,precaution,ingredients,uses,category
Hashmi Migrokill Capsule | Ayurvedic Capsules For Headache & Migraine 100% Pure,1487,Migrokill Capsule Migraine Treatment Medicine at home is for all those people out there who are unable to control this severe issue with general measures. Migraine is one of the worst problems that could arise to a human due to its direct connection to brain,129,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653289390465_2Hashmi.jpg?alt=media&token=image,"Hashmi Migrokill Capsule | Ayurvedic Capsules For Headache & Migraine 100% Pure, haedache, sar dukhne ki dawa, sar dard ki dawa, head me pain","Curb the caffeine, Be careful with exercise, Get regular shut-eye","Centella Asiatica-, Withania somnifera-, Acorus calamus-, Santalumalbum,Glycyrrhiza glabra",1 Capsule per day after meal,628b7d5d2f61643132a89b1f
Ayurvedic Life Migra Plus Migraine Support Tablet,179,Only the highest quality ingredients are used to give you the maximum benefit and protection for Migraine & headache relief,112,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653289947129_3Ayurvedic .jpg?alt=media&token=image,"Ayurvedic Life Migra Plus Migraine Support Tablet, haedache, sar dukhne ki dawa, sar dard ki dawa, head me pain","Curb the caffeine, Be careful with exercise, Get regular shut-eye,As with any dietary supplement, do not take without first consulting your healthcare practitioner"," Godanti Bhasma, Dashhamool, Brahmi, Shankhpushpi",1 tablets per day after meal,628b7d5d2f61643132a89b1f
Kottakkal Arya Vaidya Sala Migrakot Tablet 100's,420,Migrakot Tablet is a proprietary Ayurvedic medicine manufactured by Arya Vaidya Sala Kottakkal It's analgesic and anti oxidant properties help relieve headaches,60,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653290030234_4Kottakkal.jpg?alt=media&token=image,"Kottakkal Arya Vaidya Sala Migrakot Tablet 100's, haedache, sar dukhne ki dawa, sar dard ki dawa, head me pain",,"Pathya, Aksha, Dhatri, Bhunimba, Nisa, Nimba, Amrita",As indicated on bottle or directed by the physician,628b7d5d2f61643132a89b1f
Dr. Ortho Ayurvedic Capsules - 30 Caps,169,"Dr. Ortho Ayurvedic Capsules are helpful in relieving the painful condition of joints and muscles like stiffness, inflammation, and pain with the healing and anti-inflammatory properties of efficient herbs",49,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653290074117_5Dr. Ortho .webp?alt=media&token=image,"Dr. Ortho Ayurvedic Capsules - 30 Caps,  stiffness, inflammation, hand pain, joint pain, hath me dard, hath ka dukhna","not for children, do not take without first consulting your healthcare practitioner","Kunduru, Guggul Shuddh, Rasna, Methi, Sunth, Ashwagandha, Vishamushti, & Shilajit Shudh",Take 2 capsules twice a day with lukewarm water or with milk. Or as directed by the physician,628b7d5d2f61643132a89b1f
Joint Health with Boswellia White Willow Bark & Guggul – 60 Vegan Capsules,1299,Foresta Organics’ Joint Health helps prevent knee-pain & joint swelling. A regular dosage of Boswellia extract helps reduce cartilage degradation and discomfort in the case of arthritis,82,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653290321810_6Joint .webp?alt=media&token=image,"Joint Health with Boswellia White Willow Bark & Guggul – 60 Vegan Capsules, joint swelling, knee-pain,  hath me dard, hath ka dukhna","As with any supplement, consult a healthcare practitioner before use if you are pregnant, nursing, taking medication","Plant based cellulose (capsule), microcrystalline cellulose, pregelatinised starch, No ingredients of animal origin",Adults take 2 capsules twice daily with food,628b7d5d2f61643132a89b1f
Ortho Veda Pain Relief & Joints Massage Herbal Oil,2900,"Ortho Veda oil is popular ayurvedic Vata massage oil, particularly beneficial for pain pertaining to bones and muscles",52,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653290406837_7Ortho.jpg?alt=media&token=image,"Ortho Veda Pain Relief & Joints Massage Herbal Oil,  joint swelling, knee-pain,  hath me dard, hath ka dukhna","The results of Ortho Veda Pain Relief oil may vary from person to person, depending on their age, lifestyle and condition","Cow milk, Black sesame oil, Wild asparagus, Giant potato, Brahmin ginseng, Vigna, Saffron crocus, Camphor, Indian ironwood, Bitumen, RocksaIt, Cardamom, Licorice, and Nutgrass","Use twice daily in case of severe pain. Repeat as necessary, As directed by the physician",628b7d5d2f61643132a89b1f
Painquit tablet and Roll on Combo,540,This combo is a complementary therapy for bone and joint health and includes 100% herbal and clinically proven Painquit tablets along with Painquit Roll-On for local relief,58,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653290466630_8Painquit.jpg?alt=media&token=image,"Painquit tablet and Roll on Combo,  joint swelling, per me dard, per ka dard, per m sujan, pain, inflammation, mobility, flexibility and strength","Read the label carefully before use, Store in a cool and dry place away from direct sunlight, Keep out of reach of the children, use under medical supervision","Boswellia (Guggul), Turmeric and Rasna","Take 2 tablets twice a day after meals, It is recommended to take daily for 3 months",628b7d5d2f61643132a89b1f
BIO JOINTARTHO TABLET,86,Biojoint 50mg Tablet is used in the treatment of osteoarthritis. It lowers pain and swelling and helps the stiff joints to heal quickly. It may be used alone or in combination with other medicines,44,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653290601403_9.jpg?alt=media&token=image,"BIO JOINTARTHO TABLET,   joint swelling, per me dard, per ka dard, per m sujan, pain","Swallow it as a whole. Do not chew, crush or break it","Nisoth 1.5mg, Bhallatak 2.5mg, Kanak Beej","Take this medicine in the dose and duration as advised by your doctor, Biojoint 50mg Tablet is to be taken with food",628b7d5d2f61643132a89b1f
Devtvakadi Ayurvedic Pain Relief oil with Cinnamon and Clove,700,Leg Pain Relief Oil is a blend of age old Indian Ayurveda and contemporary scientific research on natural herbs,54,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653290655294_10Devt.jpg?alt=media&token=image,"Devtvakadi Ayurvedic Pain Relief oil with Cinnamon and Clove, per me dard, per ka dard, per m sujan, pain","Don’t eat fried, don’t have junk food","Cymene, Dipentene, Limonene, Phellandrene, and Pinene","Use twice daily in case of severe pain. Repeat as necessary, As directed by the physician",628b7d5d2f61643132a89b1f
Hashmi Jaundinil Capsule |useful For Jaundice Medicine 100% Herbal,997,Hashmi Pharmacy offers the optimum Jaundice Treatment Medicine that is specifically designed to target the cause and remove the symptoms from the first dosage. The medicine is extensively tested to ensure that it works powerfully and directly to heal the liver and its related processes,78,https://firebasestorage.googleapis.com/v0/b/app-project-ayurveda2.appspot.com/o/1653290708942_11Hashmi.webp?alt=media&token=image,"Hashmi Jaundinil Capsule |useful For Jaundice Medicine 100% Herbal, jaundice medicine, jaundice ki dawa, jaundice ka ilaaj","Store in a cool and dry place away from direct sunlight, Keep out of reach of the children","Solanum nigrum-, Rubia cordifolia-., Valerina officinalis-., Piper cubeba-, Chena podium alibum-, caccinia glauca-, Peari-, Nigella sativa",Take this medicine in the dose and duration as advised by your docto,628b7d5d2f61643132a89b1f
