name,price,description,stock,image,keyword,category
Ashvagandharist,118,"Ashvagandharist has relaxant and mild sedative properties. It soothes your mind and nourishes the brain and nerves to help you regain balance. It helps prevent epileptic attacks, cures sexual disorders, weakness and depression",50,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652439836390_Divya Ashvagandharist..jpg?alt=media&token=image,"Ashvagandharist,davai,anxiety davai,anxiety ki davai,medicine",627cad2b412fc0e68820c482
Cureveda Stress Shield,945,"Cureveda Stress Shield helps to promote calm & relaxed state of mind and provide relief in anxiety, stress, strain, mood swings, and headache",100,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652439814728_Cureveda Stress Shield..jpg?alt=media&token=image,"Cureveda Stress Shield,stress medicine,stress davai,anxiety,stress ki davai",627cad2b412fc0e68820c482
Mentace � Brihatri,168,MENTACE is an ayurvedic medicine by BRIHATRI which has a profile of powerful antioxidant properties that destroy the free radicals relieving the stress from the tensed cells of the body.,40,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652439855318_Mentace � Brihatri.png?alt=media&token=image,"Mentace � Brihatri,anxiety davai",627cad2b412fc0e68820c482
Maharishi Ayurveda Cardimap,234,"Maharishi Ayurveda Cardimap Tablet is a synergistic combination of 5 herbs that ensures sustained control of high blood pressure and is also highly effective in managing anxiety, stress and insomnia which are secondary complications/symptoms of high blood pressure",20,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652439874011_Maharishi Ayurveda Cardimap..jpg?alt=media&token=image,"Maharishi Ayurveda Cardimap,stress,anxiety medicine,stress anxiety ki davai",627cad2b412fc0e68820c482
TrueBasics Ashwagandha,799,"Ashwagandha contains chemicals that might help calm the brain, reduce swelling, lower blood pressure, and alter the immune system. Since ashwagandha is traditionally used as an adaptogen, it is used for many conditions related to stress. Adaptogens are believed to help the body resist physical and mental stress.",45,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652439899140_TrueBasics Ashwagandha.jpg?alt=media&token=image,"TrueBasics Ashwagandha,stress,anxiety medicine ",627cad2b412fc0e68820c482
Asthomap,165,"Asthomap is an Ayurvedic remedy for Asthma, allergies and other respiratory diseases. The natural herbs and ingredients help to improve the respiratory immunity of a person thereby decreasing the onset of frequent asthma attacks.",60,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652439930872_Asthomap.jpg?alt=media&token=image,"Asthomap,ashthama medicine,dama medicine,sas ki davai,dama ki davai",627cada3412fc0e68820c485
Asthma jadmukt tablets,1500,"""Asthma jadmukt tablets"" reducing the symptoms of asthma and controlling the frequency of asthma attacks. Our Ayurvedic medicine Helps to open airways That become narrower and are filled with mucus, blocking the airflow which then results in short gasping breaths.",70,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652439949673_Asthma jadmukt tablets.jpg?alt=media&token=image,"Asthma jadmukt tablets,asthama medicine,asthama ki medicine",627cada3412fc0e68820c485
Kerala Ayurveda Kanakasavam,66,"Kanakasavam is a liquid ayurvedic formulation with purified dhatura as its main ingredient which is an anti � allergic, anti � inflammatory, mucolytic and a powerful bronchodilator. * It gives relief from an acute attack of asthma. * It increases the airflow to the lungs by dilating and relaxing the bronchial passages.",60,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652439961957_Kerala Ayurveda Kanakasavam.png?alt=media&token=image,"Kerala Ayurveda Kanakasavam,ashthama medicine,ashthama  davai,dama ki davai",627cada3412fc0e68820c485
Asthamago,999,These medicines relax the muscles around your airways. The relaxed muscles let the airways move air. They also let mucus move more easily through the airways. These medicines relieve your symptoms when they happen and are used for intermittent and chronic asthma,56,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652439976481_Asthamago.jpg?alt=media&token=image,"Asthamago,ashthama medicine,dama davai , asthama ki davai ",627cada3412fc0e68820c485
Eczibis,290,"A natural cure for Eczematous Dermatitis to provide prompt relief from itching, scaling, redness & cracking",70,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440015244_Eczibis.jpg?alt=media&token=image,"Eczibis,skin medicine,allergy medicine,exzema ki davai ",627cae14412fc0e68820c48b
Birla Ayurveda Eczegon,360,"Birla Ayurveda Eczegon Tablet is used in the treatment of skin problems such as itching, irritation, dryness and flaking. It reduces itching and irritation caused due to Psoriasis. Key Ingredients: Kadunimpatra Ghana.",60,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440034305_Birla Ayurveda Eczegon.jpg?alt=media&token=image,"Birla Ayurveda Eczegon,skin medicine,allergy medicine,exzema ki davai",627cae14412fc0e68820c48b
TAKZEMA OINTMENT,83,"Takzema Ointment is an amalgamation of ingredients that work together to treat various skin diseases such as Eczema, Contact Dermatitis and Allergic Dermatitis. It helps reduce inflammation and promotes the restoration of healthy skin tissues. Key Ingredients: Neem",50,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440051376_TAKZEMA OINTMENT.jpg?alt=media&token=image,"TAKZEMA OINTMENT,skin medicine,allergy ",627cae14412fc0e68820c48b
Tiktamrit Capsule,350,TIKTAMRIT CAPSULE by PAVAMAN is an ayurvedic medicine. Tiktamrit is an excellent blood purifier and works well in treating skin-related disorders.,80,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440065760_Tiktamrit Capsule.jpg?alt=media&token=image,"Tiktamrit Capsule,skin medicin,allergy  medicine,skin allergy ,skin alergy ,elergy",627cae14412fc0e68820c48b
Divya Mukta Vati ,200,"Mukta vati is totally free from side effects. This drug cures high blood pressure or heart disease caused by the disorders of the kidneys or Cholesterol, anxiety, stress or any other reason which is hereditary, etc. It works well if insomnia, nervousness, chest pain and head ache like Problems are mingled with BP.",90,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440092383_Divya Mukta Vati .jpg?alt=media&token=image,"Divya Mukta Vati,high blood pressure ,chhakar davai,ghabrahat ki davai",627cae31412fc0e68820c48d
Stream iHeart Capsule,200,"iHeart capsules is a total heart support contains extract of the bark of the Arjun tree. Other herbal extract in iHeart capsules are guggal, giloe, arjun chall, garlic, variksh amla (Indian herbs) to calm down the nerves and strengthen them by providing nutrition to them.iHeart capsules are best heart care remedies without any side effects.",70,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440106244_Stream iHeart Capsule.jpg?alt=media&token=image,"Stream iHeart Capsule,high blood pressure chhakar davai,ghabrahat davai",627cae31412fc0e68820c48d
Goodcare Cholest Guard ,310,"Goodcare Cholest Guard is a proven, unique formulation that eliminates cholesterol and harmful fat from the body by increasing the hepatic uptake. The regular intake of Goodcare Cholest Guard helps reduce the risk of heart attacks by keeping the heart muscles strong and active.",65,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440125192_Goodcare Cholest Guard .jpg?alt=media&token=image,"Goodcare Cholest Guard ,high cholesterol  level",627cae4b412fc0e68820c48f
