name,price,description,stock,image,keyword,precaution,ingredients,uses,category
Ashvagandharist,118,"Ashvagandharist has relaxant and mild sedative properties. It soothes your mind and nourishes the brain and nerves to help you regain balance. It helps prevent epileptic attacks, cures sexual disorders, weakness and depression",50,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652439836390_Divya Ashvagandharist..jpg?alt=media&token=image,"Ashvagandharist,davai,anxiety davai,anxiety ki davai,medicine","Due to the risk of causing hypnotic effect, the dosage of Ashwagandha must be charted out thoughtfully,Kidney patients should undergo a kidney function test before starting Ashwagandharishta and must be followed up regularly to keep a close watch on any complications, must be used with caution in certain health conditions like pregnancy","Ashwgandha(Withaniasomnifera),Musli(Asperagusadscendens),Manjistha(Rubiacordifolia),Harar(Terminalia chebula),Haldi(Curcuma longa),Daruhaldi(Barberisaristata),Mulethi(Glycyrrhiza glabra),
Rasna(Pluchealanceolata)Vidhari(Puerariatuberosa),Arjuna (Terminalia arjuna),Nagarmotha 
(Cyperusrotandus),Nishoth (Operculinaturpethum),Kali sariva (Sryptolepisbuchanana),Safed
sariva(Hemidesmusindicus),Chandan (Santlum album),Raktchandan (Pterocarpussantalinus),
 Vach (Acoruscalmus),Chitrka (Plumbago zeylanica),Gudd (Jaggery),Dhaifool Woodfordiafruticosa),Saunt (Zingiberofficinale),Kalimirch (Piper nigrum),Pipal (Piper longum),Dalchini (Cinnamomumzeylanicum),Badiela (Amomum sabulatum),Tejpatra (Cinnamomumtamala),Priyangu 
 (Callicarpa macrophylla),Nagkesher (Mesuaferrea) 
",Take 15-30 ml orally with an equal quantity of water after meals twice a day or as directed by the physician,627cad2b412fc0e68820c482
Cureveda Stress Shield,945,"Cureveda Stress Shield helps to promote calm & relaxed state of mind and provide relief in anxiety, stress, strain, mood swings, and headache",100,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652439814728_Cureveda Stress Shield..jpg?alt=media&token=image,"Cureveda Stress Shield,stress medicine,stress davai,anxiety,stress ki davai","you should always consult your doctor before using Cureveda Stress Shield Tablet,  do not take it cotinously,  in case of any issue please immediatly contact with your doctors","Ashwagandha Extract (Withania Somnifera)-200Mg, Brahmi (Bacopa Monnieri)-125Mg, Jatamansi Extract (Nardostachys Jatamansi)-75Mg.","Take 1 tablet twice a day, after lunch and dinner, or 2 tablets at bed time with water or as advised by the physician. Continue up to 3 months for best results. Listen to soothing music, exercise regularly, maintain a healthy diet, reduce caffeine intake, and avoid alcohol and smoking.",627cad2b412fc0e68820c482
Mentace – Brihatri,168,MENTACE is an ayurvedic medicine by BRIHATRI which has a profile of powerful antioxidant properties that destroy the free radicals relieving the stress from the tensed cells of the body.,40,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652439855318_Mentace – Brihatri.png?alt=media&token=image,"Mentace – Brihatri,anxiety davai","you should always consult your doctor before using Cureveda Stress Shield Tablet,  do not take it cotinously,  in case of any issue please immediatly contact with your doctors",,2 tablets twice a day or as directed by physician.,627cad2b412fc0e68820c482
Maharishi Ayurveda Cardimap,234,"Maharishi Ayurveda Cardimap Tablet is a synergistic combination of 5 herbs that ensures sustained control of high blood pressure and is also highly effective in managing anxiety, stress and insomnia which are secondary complications/symptoms of high blood pressure",20,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652439874011_Maharishi Ayurveda Cardimap..jpg?alt=media&token=image,"Maharishi Ayurveda Cardimap,stress,anxiety medicine,stress anxiety ki davai","If you are pregnant or nursing or have a known medical condition consult your physician before taking this or any other medicine, Store in a cool and dry place, Keep away from the reach of children, Do not exceed the recommended dosage","Sarpagandha,Shankhpushpi,Jatamansi,Brahmi",Take 1-2 tablets daily depending on the condition of the patient or as directed by the physician.,627cad2b412fc0e68820c482
TrueBasics Ashwagandha,799,"Ashwagandha contains chemicals that might help calm the brain, reduce swelling, lower blood pressure, and alter the immune system. Since ashwagandha is traditionally used as an adaptogen, it is used for many conditions related to stress. Adaptogens are believed to help the body resist physical and mental stress.",45,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652439899140_TrueBasics Ashwagandha.jpg?alt=media&token=image,"TrueBasics Ashwagandha,stress,anxiety medicine "," It is likely unsafe to use ashwagandha when pregnant. There is some evidence that ashwagandha might cause miscarriages, brest feeding tyme avoid it, this could increase the symptoms of auto-immune diseases If you have one of these conditions it's best to avoid using ashwagandha",KSM-66 Ashwagandha Root Extract,It is recommended to take one capsule daily in the morning or at bedtime,627cad2b412fc0e68820c482
Asthomap,165,"Asthomap is an Ayurvedic remedy for Asthma, allergies and other respiratory diseases. The natural herbs and ingredients help to improve the respiratory immunity of a person thereby decreasing the onset of frequent asthma attacks.",60,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652439930872_Asthomap.jpg?alt=media&token=image,"Asthomap,ashthama medicine,dama medicine,sas ki davai,dama ki davai","If you are pregnant or nursing or have a known medical condition consult your physician before taking this or any other medicine, Store in a cool and dry place, Keep away from the reach of children, Do not exceed the recommended dosage","Talispatra(Abies webbiana),Kali Mirch(Piper nigrum),Shunthi(Zingiber officinate),Pippali(Piper longum), Vanshlochan(Bambusa arundinacea),Ela(Elettaria cardamomum),Twak(Cinnamomum zeylanicum),Soma lata(Sarcostemma hrevistigma),Yashtimadhu(Glycyrrhiza glabra),Vasa(Adhatoda vasica),Kushta(Saussurea lappa)and Mishri (Crystal sugar)",Take 1-2 tablets thrice a day with water or milk or as directed by the Physician,627cada3412fc0e68820c485
Asthma jadmukt tablets,1500,"""Asthma jadmukt tablets"" reducing the symptoms of asthma and controlling the frequency of asthma attacks. Our Ayurvedic medicine Helps to open airways That become narrower and are filled with mucus, blocking the airflow which then results in short gasping breaths.",70,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652439949673_Asthma jadmukt tablets.jpg?alt=media&token=image,"Asthma jadmukt tablets,asthama medicine,asthama ki medicine","Take Asthma Medications as Prescribed, Get Your Vaccinations, Limit exposure to all sources of smoke including tobacco incense candles fires and fireworks, Don’t allow smoking in your home or car and avoid public places that permit it","Goat Milk - 100 g,Vedic Organic Honey - 50 g,Swasari - 20 g,Trikuta - 20 g,Sitopaladi - 20 g,Praval pishti -5 - 10g,Godanti - 10g,Swarn Vasant Malti -2-3 g,Secret Ancient Herbs -30 g",As directed by the physician,627cada3412fc0e68820c485
Kerala Ayurveda Kanakasavam,66,"Kanakasavam is a liquid ayurvedic formulation with purified dhatura as its main ingredient which is an anti – allergic, anti – inflammatory, mucolytic and a powerful bronchodilator. * It gives relief from an acute attack of asthma. * It increases the airflow to the lungs by dilating and relaxing the bronchial passages.",60,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652439961957_Kerala Ayurveda Kanakasavam.png?alt=media&token=image,"Kerala Ayurveda Kanakasavam,ashthama medicine,ashthama  davai,dama ki davai","Read the label carefully before use, Do not exceed the recommended dose, Keep out of the reach of children, Store in a cool and dry place, away from sunlight","Kanaka (Datura metel),Vasa (Adhatoda vasica),Kantakari (Solanum xanthocarpum),Nagakeshara (Mesua ferrea),Bharngi (Clerodendrum serratum)",Take Kerala Ayurveda Kanakasavam as directed by the physician.,627cada3412fc0e68820c485
Asthamago Dyte,999,These medicines relax the muscles around your airways. The relaxed muscles let the airways move air. They also let mucus move more easily through the airways. These medicines relieve your symptoms when they happen and are used for intermittent and chronic asthma,56,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652439976481_Asthamago.jpg?alt=media&token=image,"Asthamago,ashthama medicine,dama davai , asthama ki davai ","Read the label carefully before use, Do not exceed the recommended dose, Keep out of the reach of children, Store in a cool and dry place, away from sunlight","Tulsi,Saunth,Mulathi,Pushkarmool",10 gms of Asthamago Dyte can be taken twice a day in full glass water.,627cada3412fc0e68820c485
Eczibis,290,"A natural cure for Eczematous Dermatitis to provide prompt relief from itching, scaling, redness & cracking",70,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652440015244_Eczibis.jpg?alt=media&token=image,"Eczibis,skin medicine,allergy medicine,exzema ki davai ","You notice signs of an infection such as fever redness warmth pus or blisters contact your doctors, Store in a cool and dry place, away from sunlight","Purified Sulphur(Gandhak)-90mg,Centatherum antheminiticum-60mg,Terbinellia Chebula(Harad)-50mg,Emblica Officinalis(Amla)-50mg",As directed by the physician,627cae14412fc0e68820c48b
