name,price,description,stock,image,keyword,precaution,ingredients,uses,category
Licel Herbal Lice Nit Killer Oil 55ml Pack of 3,130,"The product has been proven since last 4½ decades & is highly effective due to its oil base. Sujanil’s ‘Licel’ – the age-old herbal oil based time solution gets rid of lice & nits, improving the texture of the hair. Licel can also be used as preventive by mixing it in the hair oil used, to restore the crowning glory and keep away Lice and nits",72,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1653282767607_2Licel Herbal Lice Nit Killer Oil 55ml Pack of 3.jpg?alt=media&token=image,"Licel Herbal Lice Nit Killer Oil 55ml Pack of 3, juva ki dawa, sar ke kide ki dawa, juva ka tel","For external use only, avoid near eyes, inside nose mouth or vagina
on lice in eyebrows or eyelashe, See a doctor if lice are present in these areas","Herbs like Shikakai, Amala, Mehandi, Neem, Karanj, Annona Squamosa","apply thoroughly to dry hair or other affected area, allow product to remain for a minimum 10 minutes, wash area throughly with warm water and soap or shampoo",627caef5412fc0e68820c499
Anti Lice Oil,34,Mediker Anti-Lice Oil is used to treat skin infections. It is an antiseptic that works by killing harmful microorganisms,40,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1653282840588_3Anti-Lice Oil.jpg?alt=media&token=image,"Anti-Lice Oil, juva ki dawa, sar ke kide ki dawa, juwa ka tel",If you miss a dose of Mediker Anti-Lice Oil please consult your doctor,"tea tree oil, lavender oil, neem oil, clove oil, eucalyptus oil, aniseed oil, cinnamon leaf oil, red thyme oil","Pour this oil on the scalp and gently massage for 4-5 minutes at least, For best results, keep the solution on overnight, Wash it off with lukewarm water to witness the best results, Repeat this process until the scalp is lice-free",627caef5412fc0e68820c499
Lice Repellent,600,Our lice repellent is completely natural & organic made with only plant based extracts that are safe to use for yourself and your little ones,56,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1653282876627_4Lice Repellent.webp?alt=media&token=image,"Lice Repellent,  juva ki dawa, sar ke kide ki dawa, juwa la tel","Avoid head-to-head (hair-to-hair) contact during play and other activities at home school and elsewhere (sports activities playground slumber parties,camp), Do not share clothing such as hats scarves coats sports uniforms hair ribbons, or barrettes, Do not share combs brushes or towels",Witch Hazel Hydrosol,"Spray moderately on dry or washed hair, Leave on hair and let dry gently",627caef5412fc0e68820c499
Biotin Hair Gummies (30),499,Multi-vitamin Hair Gummies for Hair Growth with Biotin (100% Vegan),67,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1653282949375_5Biotin Hair Gummies (30).webp?alt=media&token=image,"Biotin Hair Gummies (30), hair problems, balo ki preshani, balo ka jhadna","If you are pregnant or nursing, consult your healthcare professional before taking not just this supplement","Chicory Root Extract, Pectin (E440), Acidity Regulator (E330), Beta-Sitosterol, Vitamin H (Biotin),Vitamin B6 (Pyridoxine HCl), Ferrous Fumarate, Selenium (seleniomethione), Grape Seed Extract, Vitamin B12(Cyanocobalamin), Vitamin B9 (Folic acid),Vitamin D2 (Ergocalciferol), Zinc Citrate Dihydrate, Sesbania Extract, Vitamin A (Retinol Palmitate), Vitamin C (Ascorbic Acid ), Vitamin E (Tocopherol Acetate), Natural Strawberry Color, Natural Strawberry Flavor, Guar Gum, Maize Starch","Eat 1 gummy daily after a meal,Simply chew - no water needed, Consumption is recommended post any meal",627caef5412fc0e68820c499
Briganantadi Hair Repair and Treatment Oil for Hair growt,385,"Briganantadi Hair Repair Oil has been clinically proven to strengthen hair in just five applications, It helps to prevent hair loss by tackling dull  damaged  and dry hair",56,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1653282989590_6Briganantadi Hair Repair and Treatment Oil for Hair growt.jpg?alt=media&token=image,"Briganantadi Hair Repair and Treatment Oil for Hair growt, oil for hair growth, balo ke liye tel, balo ke liye dawa","For external use only, avoid near eyes, inside nose mouth or vagina
on lice in eyebrows or eyelashe, See a doctor if lice are present in these areas","brigraj, amla, mulethi, leveder oil",apply 2 times in a day or as directed by the physician,627caef5412fc0e68820c499
1% Redensyl Hair Oil,549,Bodywise 1% Redensyl Hair Oil is an advanced formula that seeps in the scalp easily. 1% Redensyl in this hair oil stimulates and nourishes the scalp with protein and antioxidants to promote and speed up hair growth,54,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1653283094466_71% Redensyl Hair Oil.jpg?alt=media&token=image,"1% Redensyl Hair Oil,  oil for hair growth, balo ke liye tel, balo ke liye dawa","We wouldn't recommend freezing Bodywise 1% Redensyl Hair Oil, This hair oil is not for children","redensyl, onion oil, bringhraj",apply it to your scalp and leave it overnight,627caef5412fc0e68820c499
Tea Tree Healthy Scalp and Anti Dandruff Hair Oil with 12 Ayurvedic Herbs,425,100% Natural and Ayurvedic Anti Dandruff Hair Oil for health Scalp,29,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1653283129103_8Tea Tree Healthy Scalp and Anti Dandruff Hair Oil with 12 Ayurvedic Herbs.webp?alt=media&token=image,"Tea Tree Healthy Scalp and Anti Dandruff Hair Oil with 12 Ayurvedic Herbs, anti dandruff oil, rusi ke liye tel","For external use only, avoid near eyes inside nose mouth or vagina
on lice in eyebrows or eyelashe, See a doctor if lice are present in these areas","Tea Tree, Rosemary, Amla, hibiscus","gently massage into hair overing your entire scalp using your figer tips, leave it on hair for 35 to 40 minutes or all over night, wash of with a mild natural sulphate  free herbal shampoo",627caef5412fc0e68820c499
The Derma Co Anti-Dandruff Oil with Gunja & Tea Tree (100ml),223,"""It’s time to bid farewell to irritating, oily, and flaky scalp with Anti-Dandruff Hair Oil. The Derma Co. Anti-Dandruff Hair Oil is formulated with Gunjadi & Tea Tree Oil and has abundant antifungal and anti-inflammatory properties that help treat dandruff",30,"https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1653283167372_9The Derma Co Anti-Dandruff Oil with Gunja & Tea Tree (100ml),.webp?alt=media&token=image","The Derma Co Anti-Dandruff Oil with Gunja & Tea Tree (100ml), anti dandruff oil, rusi ke liye tel","This hair oil is not for children,  avoid near eyes inside nose mouth or vagina","gunjadi, tea tree oil,","gently massage into hair overing your entire scalp using your figer tips, leave it on hair for 35 to 40 minutes or all over night, wash of with a mild natural sulphate  free herbal shampoo",627caef5412fc0e68820c499
BRINGHA OIL,299,"Bhringraj, known as ‘Kehraj‘ and ‘Karisalankanni’, is a medicinal herb that grows in moist areas. According to Ayurveda, the leaf is a powerful liver cleanser and is especially good for the hair",65,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1653283192804_10BRINGHA OIL.webp?alt=media&token=image,"BRINGHA OIL, oil for hair growth, balo ke liye tel, balo ke liye dawa","avoid near eyes inside nose mouth or vagina,This hair oil is not for children","Bhringaraja, Jaitun, Krishna Nimba, Narikela, Kumari, Brahmi, Vatada, Amalaki, Mahabala, Bael Tree, Thistles, Nimba, Eranda, Swethakutaja",Massage the oil in a circulatory motion for 10 minutes on an everyday basis to get the best results,627caef5412fc0e68820c499
Himalaya Hairzone Solution 60ml,240,Himalaya's Hairzone (Solution) is a phytopharmaceutical topical preparation  used in hair fall treatment. It is beneficial for promoting hair growth and increasing the tensile strength of the hair. It also helps enhancing density and count of hair follicles,76,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1653283240013_11Himalaya Hairzone Solution 60ml.jpg?alt=media&token=image,"Himalaya Hairzone Solution 60ml, hair fall, hair growth, balo ka jhadna, balo ki growth","Read instructions carefully before use,in case of any issue immediately consult your doctors, For external use only","Palasha , Palashabheda, Vatada, Amalaki, Mahabala, Bael Tre","Spray a generous amount of Hairzone solution to the affected parts of the scalp, Gently massage the scalp for 5 to 10 minutes and leave it overnight, Wash your hair the next morning, Use as directed by the physician",627caef5412fc0e68820c499
