name,causes,homeRemedies,yogaLink,precaution,image,keyword,mId,category
Injury ,"Traumatic brain injury usually results from a violent blow or jolt to the head or body. An object that goes through brain tissue, Headache, Nausea or vomiting, Fatigue or drowsiness, Problems with speech, Dizziness or loss of balance","Turmeric, Tea Tree Oil, Tea Tree Oil is proven for its antiseptic properties and antibacterial properties that can kill even antibiotic-resistant bacteria., Aloe Vera, Coconut Oil, Jatyadi Oil, Sandalwood, Basil leaves, Neem.",https://www.youtube.com/embed/SedzswEwpPw,"Take time off, Wear the right gear, Strengthen muscles, Increase flexibility, Use the proper technique, Take breaks, Play safe, Do not play through pain",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652716278031_1.jpg?alt=media&token=image,"wounds, cuts, scraps, injury, ghaw, damage to the muscles tendons or ligaments, Injury ",6284bd0f00c63731c32b5db6,627caeb7412fc0e68820c497
Herniated disk .,"cause neck pain radiating arm pain shoulder pain and numbness or tingling in the arm or hand, The quality and type of pain can vary from dull aching and difficult to localize to sharp, burning, and easy to pinpoint","Stretching exercises to keep your muscles flexible, Aerobic exercises  such as walking or riding a stationary bicycle, Massage, Ice and heat, Ultrasound therapy, Electrical muscle stimulation",https://www.youtube.com/embed/4sKVliurAns,Take it easy for a few days. Rest can relieve swelling and give your back time to heal. While your back hurts avoid exercise and other activities where you have to bend or lift,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652716301213_2.png?alt=media&token=image,"pain in the neck, gardan ka dard, gardan dukhna, neck me pain,  Herniated disk","6284bd0f00c63731c32b5db7,6284bd0f00c63731c32b5db8,6284bd0f00c63731c32b5db9",627caeb7412fc0e68820c497
Arthritis,"The main symptoms of arthritis are joint pain and stiffness which typically worsen with age, the hard, slippery tissue that covers the ends of bones where they form a joint to break down","Aloe vera is one of the most commonly used herbs in alternative medicine, Boswellia, Cat's claw, Eucalyptus, Ginger, Green tea, Thunder god vine, Turmeric",https://www.youtube.com/embed/Mk6vyXPNhTg,"Stay at a healthy weight. Extra pounds put pressure on weight-bearing joints like hips and knees, Control your blood sugar, Exercise, Stretch, Avoid injury, Quit smoking, Eat fish twice a week, Get routine preventive care",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652716321794_3.webp?alt=media&token=image,"gardann a dard, gardan or kandhe me dard, arthiritis, ","6284c78232220944f0d5d6f9,6284c78232220944f0d5d6fa,6284c78232220944f0d5d701",627caeb7412fc0e68820c497
Cervical  disk degeneration.,"The most common and obvious symptoms of cervical degenerative disc disease are neck pain and a stiff neck, pain, numbness, or weakness radiating down your shoulder, arm, and hand","Slowly turn your head to the left, Tilt your head to the left and try to touch your left ear to your shoulder, Bend your head forward",https://www.youtube.com/embed/4JQVXDuDYds,"To protect the neck, you'll want to avoid any exercises that may shock the cervical spine, such as weightlifting. Avoid other exercise or activities that require you to bend forward or use your arms or shoulders in front of your body, which could potentially irritate the bulging disc",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652716345607_5.png?alt=media&token=image,"Cervical  disk degeneration, gardann a dard, gardan or kandhe me dard","6284c78232220944f0d5d6fc,6284c78232220944f0d5d6fd,6284c78232220944f0d5d6fe,",627caeb7412fc0e68820c497
Congenital abnormalities of the vertebrae and bones.,"Tilted pelvis, Difficulty walking
Difficulty breathing, Abnormal curvature or twisting in the back, left or right, forward or backward
Uneven shoulders, hips, waist or legs","Usually, ice is best if your back is bothered by swelling or inflammation, A heating pad may be better if you're trying to relax stiff or tight",no video available,"Hold your head straight and tuck in your chin, Your ears should be over the middle of your shoulders, Place a small, rolled-up towel or lumbar cushion behind your mid-back to protect your spine's natural curve. Bend your knees at a right angle and keep them the same height, or a bit higher",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652716367025_6.jpg?alt=media&token=image,"Congenital abnormalities of the vertebrae and bones, birth problems, birth abnnormalities","6284c78232220944f0d5d6ff,6284c78232220944f0d5d700",627caeb7412fc0e68820c497
Tumors,"In general, tumors occur when cells divide and grow excessively in the body. Normally, the body controls cell growth and division. New cells are created to replace older ones or to perform new functions.","Eat plenty of fruits and vegetables, Fruits and vegetables are full of vitamins and nutrients that are thought to reduce the risk of some types of cancer, Sip green tea throughout your day, Eat more tomatoes, Use olive oil, Snack on grapes, Use garlic and onions abundantly",https://www.youtube.com/embed/yQBl8btiabk,"Don't use tobacco Using any type of tobacco puts you on a collision course with cancer, 
Eat a healthy diet, 
Maintain a healthy weight and be physically active, 
Protect yourself from the sun, Get vaccinated, Avoid risky behaviors, Get regular medical care.",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652716383533_7.jpg?alt=media&token=image,"Tumours, cancer, taumaers",,627caeb7412fc0e68820c497
back pain,"Muscle strain. Share on Pinterest A possible cause of neck pain is muscle strain. ...
Cervical spondylosis. ...
Injury. ...
Cervical radiculopathy. ...
Spinal stenosis. ...
Meningitis. ...
Cancer.","taking over-the-counter pain relief medication, such as acetaminophen (also called Tylenol)
placing warm or cold packs on the neck to reduce pain symptoms.
avoiding contact sports and heavy lifting.
seeing a physical therapist.
doing gentle neck stretches.
keeping good posture.",https://www.youtube.com/embed/1iuRqY7eYkI,"Muscle strain. Share on Pinterest A possible cause of neck pain is muscle strain. ...
Cervical spondylosis. ...
Injury. ...
Cervical radiculopathy. ...
Spinal stenosis. ...
Meningitis. ...
Cancer.",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652716401950_8.jpg?alt=media&token=image,"Causes of back neck pain in female, dard pain  back me dard , pith me dard, Causes of back neck pain in female,","6284c78232220944f0d5d6fb,6284c78232220944f0d5d703,6284c78232220944f0d5d702",627caeb7412fc0e68820c497
Spinal stenosis,"Spinal stenosis is most commonly caused by wear-and-tear changes in the spine related to osteoarthritis. In severe cases of spinal stenosis, doctors may recommend surgery to create additional space for the spinal cord or nerves.",Applying hot or cold packs. Some symptoms of cervical spinal stenosis may be relieved by applying heat or ice to your neck.,https://www.youtube.com/embed/Dmz1C7vhywE,"The best way to manage lumbar spinal stenosis is to learn as much as you can about your disease, work closely with your medical team, and take an active role in your treatment. Keep your lower back as healthy as possible by maintaining a healthy weight, practicing good body mechanics, and getting regular exercise.",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652716421355_9.webp?alt=media&token=image,"Spinal stenosis, pith me dard, kamar me dard, pith ka dhukhna",6284c78232220944f0d5d6ff,627caeb7412fc0e68820c497
Meningitis,"Meningitis is an inflammation (swelling) of the protective membranes covering the brain and spinal cord. A bacterial or viral infection of the fluid surrounding the brain and spinal cord usually causes the swelling. However, injuries, cancer, certain drugs, and other types of infections also can cause meningitis.","Bed rest.
Plenty of fluids.
Over-the-counter pain medications to help reduce fever and relieve body aches.",no video available,Vaccination. Vaccines are the most effective way to protect against certain types of bacterial meningitis. There are vaccines for 4 types of bacteria that can cause meningitis: Meningococcal vaccines help protect against N.,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652716439494_10.webp?alt=media&token=image,"Meningitis, bacteria ki bimari, bacterial virus ki bimar","6284c78232220944f0d5d704,6284c78232220944f0d5d705,",627caeb7412fc0e68820c497
Cancer,"Cancer is caused by changes (mutations) to the DNA within cells. The DNA inside a cell is packaged into a large number of individual genes, each of which contains a set of instructions telling the cell what functions to perform, as well as how to grow and divide.27-Apr-2021","Make The Room Comfortable And Lively. Hospital rooms are dull and colourless which can make them very boring. ...
Create A Treatment And Appointments Calendar. ...
Use A Time Table To Remember Medicine Timings. ...
Control The Number Of Visitors. ...
Take Some Time Off.",https://www.youtube.com/embed/yQBl8btiabk,"Don't use tobacco. Using any type of tobacco puts you on a collision course with cancer. ...
Eat a healthy diet. ...
Maintain a healthy weight and be physically active. ...
Protect yourself from the sun. ...
Get vaccinated. ...
Avoid risky behaviors. ...
Get regular medical care.",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652716455221_11.jpg?alt=media&token=image,"cancer , tumor,",,627caeb7412fc0e68820c497
